Name,Nodes
"endometriosis_(Support=0.75%, Confidence=40.0% (cc))cc",33
KEGG-Notch-signaling-pathway,20
NetPath-Interleukin-1-(IL-1)-pathway,41
linker-q_0.5-query_NRM1-path_k_50,28
"ACNE_(Support=0.75%, Confidence=30.0%)",68
kegg-jakstat-neurotrophin,96
"ECZEMA_(Support=0.75%, Confidence=30.0%)",56
test15,129
NetPath-Kit-Receptor-pathway,80
5-Fluorouracil_20634_v1,180
NetPath-KitReceptor-pathlinker-top200paths,74
"atopic dermatitis_(Support=0.75%, Confidence=20.0% (cc))cc",55
pathogenesis-weighted-test-4,601
NetPath-Interleukin-3-(IL-3)-pathway,68
KEGG-RIG-I-like-receptor-signaling-pathway,41
KEGG-VEGF-signaling-pathway,27
KEGG-Estrogen-signaling-pathway,30
"Urticaria_(Support=0.75%, Confidence=30.0% (cc))cc",40
"urticaria_(Support=0.75%, Confidence=20.0%)",118
Wnt-Pathway-Reconstruction,58
sample,2
blah,180
"urticaria_(Support=0.5%, Confidence=40.0%)",69
NetPath-Interleukin-9-(IL-9)-pathway,14
"Eczema_(Support=1.0%, Confidence=20.0% (cc))cc",33
NetPath-Leptin-pathway,55
"Atopic Dermatitis_(Support=0.75%, Confidence=40.0%)",28
NetPath-Brain-derived-neurotrophic-factor-(BDNF)-pathway,70
NetPath-Fibroblast-growth-factor-1-(FGF1)-pathway,50
linker-q_0.5-query_HSL1-path_k_50,48
KEGG-T-cell-receptor-signaling-pathway,53
37 Neighbors of RN-tre (5 isoforms),38
Attribute Order: Color Then Shape,4
KEGG-Calcium-signaling-pathway,31
KEGG-TGF-beta-signaling-pathway,41
NetPath-Prolactin-pathway,70
NetPath-Wnt-pathway,107
KEGG-Fc-epsilon-RI-signaling-pathway,28
"endometriosis_(Support=0.5%, Confidence=30.0% (cc))cc",53
testing network structure,256
KEGG-hsa04072,43
KEGG-Glucagon-signaling-pathway,30
kegg-nfkb-neurotrophin,71
KEGG-Hippo-signaling-pathway,50
"ACNE_(Support=0.5%, Confidence=40.0% (cc))cc",23
LabelPlacement,9
test,44
"atopic dermatitis_(Support=0.5%, Confidence=30.0% (cc))cc",62
"ACNE_(Support=1.0%, Confidence=40.0%)",23
kegg-mapk-wnt,51
kegg-tlr-neurotrophin,80
ECZMEMA,17
"ACNE_(Support=1.0%, Confidence=40.0% (cc))cc",11
netpath-wnt-pathlinker-k100,46
"endometriosis_(Support=0.5%, Confidence=40.0% (cc))cc",47
KEGG-Toll-like-receptor-signaling-pathway,51
Wnt Reconstruction with Compartments (2017-10-01 10:52:59.770899),93
"atopic dermatitis_(Support=0.5%, Confidence=20.0% (cc))cc",83
(Node Version) WntPathway (NetPath with fbget data and ttest),107
"Urticaria_(Support=1.0%, Confidence=20.0% (cc))cc",37
"urticaria_(Support=1.0%, Confidence=30.0%)",54
linker-q_0.5-query_TPK2-path_k_50,50
kegg-prolactin-gnrh,62
kegg-nfkb-tlr,82
"Eczema_(Support=1.0%, Confidence=40.0% (cc))cc",11
kegg-vegf-estrogen,66
Image Graph,8
KEGG-Ras-signaling-pathway,68
"Eczema_(Support=0.5%, Confidence=20.0% (cc))cc",56
Attribute Order: Shape Then Color,4
KEGG-NF-kappa-B-signaling-pathway,54
Tokyo Railways,943
NetPath-TCR-pathlinker-top200paths,71
overlap-graph-185-10000,63
"ACNE_(Support=1.0%, Confidence=20.0%)",90
linker-q_0.5-query_CDC5-path_k_50,50
"ACNE_(Support=1.0%, Confidence=30.0%)",59
"Endometriosis_(Support=0.5%, Confidence=20.0%)",250
"Atopic Dermatitis_(Support=1.0%, Confidence=20.0%)",109
KEGG-Adrenergic-signaling-in-cardiomyocytes,41
NetPath-Interleukin-11-(IL-11)-pathway,12
"ACNE_(Support=0.5%, Confidence=30.0%)",89
"ACNE_(Support=1.0%, Confidence=20.0% (cc))cc",33
"atopic dermatitis_(Support=0.75%, Confidence=30.0% (cc))cc",47
"Pruning Analysis: netpath, TNFalpha",239
EdgeStyles,20
"Pruning Analysis: netpath, RANKL",57
